notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Goblet Cells,13,0.1512
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Unknown,0,0.0
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Epidermis 1,1301,12.0586
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Epidermis 2,926,8.5828
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Neural Plate Border 2,876,8.1194
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Neural Plate 2,720,6.6735
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Ventral Mesoderm,697,6.4603
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Neural Plate 1,612,5.6724
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Anterior Paraxial Mesoderm,566,5.2461
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Posterior Paraxial Mesoderm,509,4.7178
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Eye Primordium,483,4.4768
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Cement Gland Primordium,450,4.1709
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Hindgut Primordium,431,3.9948
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Foregut Primordium,368,3.4109
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Pharyngeal Mesoderm,314,2.9104
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Pre-placodal Region,287,2.6601
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Notochord,277,2.5674
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Dorsolateral Mesoderm,268,2.484
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Lateral Mesoderm,258,2.3913
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Neural Plate Border 1,255,2.3635
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Hindbrain Primordium,228,2.1133
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Pronephric Primordium,219,2.0298
